Prod_Id,Name,Brand,Category,Price,Stock,Color,Size,Availability,Cus_id
27,Fan Iron Cooker,Mcfarland-Buck,Health & Wellness,926,848,SlateBlue,Large,limited_stock,16
28,Wireless Printer Fan Compact Plus,Kirby and Sons,Home & Kitchen,934,479,SeaGreen,10x10 cm,out_of_stock,7
29,Ultra Projector Rechargeable,"Owen, Caldwell and Salazar",Books & Stationery,282,953,Khaki,S,pre_order,12
30,Blender Toaster Camera,Montoya Group,Books & Stationery,90,680,Sienna,Large,in_stock,72
31,Treadmill,"Franklin, Liu and Evans",Toys & Games,537,646,DarkViolet,L,in_stock,93
32,Portable Webcam Powerbank Rechargeable Advanced,Harrison Ltd,Fitness Equipment,177,710,Khaki,8x10 in,in_stock,24
33,Fan Phone,Kennedy-Weiss,Camping & Hiking,335,921,SkyBlue,50x70 cm,pre_order,53
34,Pro Stove Eco Smart,"Joyce, Mcdonald and Maldonado",Cycling,663,695,Crimson,XXL,discontinued,18
35,Charger,"Mills, Mendez and Waller",Fitness Equipment,596,52,Green,L,discontinued,86
36,Fan Phone,Maldonado PLC,Laptops & Computers,385,219,Orchid,10x10 cm,pre_order,36
37,Fan Powerbank,"Payne, Joseph and Ponce",Kids' Clothing,825,93,DarkSlateGray,8x10 in,backorder,38
38,Premium Router Lamp,Roman and Sons,Home Decor,245,243,SlateBlue,100x200 mm,in_stock,5
39,Smart Keyboard Toaster Monitor,Duarte Ltd,Cameras & Accessories,573,671,DarkGoldenRod,Large,pre_order,98
40,Pro Iron Drone Ultra,Rogers Ltd,Shoes & Footwear,536,188,GhostWhite,Medium,out_of_stock,53
41,Fan,"Shaffer, Bowers and Parrish",Books & Stationery,783,56,Magenta,XS,backorder,48
42,Fast Cooler Prime Advanced,Hartman LLC,Team Sports,181,117,LightSlateGray,M,pre_order,32
43,Advanced Webcam Printer,"Montoya, Barnes and Haley","Accessories (Bags, Hats, Belts)",914,136,Cyan,12x18 in,in_stock,37
44,Premium Scooter,Cowan and Sons,Team Sports,486,773,Aqua,12x18 in,in_stock,77
45,Eco Vacuum Iron Phone Clean One Max,"Beltran, Khan and Proctor",Office Supplies,20,397,DarkOliveGreen,15x20 cm,in_stock,26
46,Clean Drone Heater Scanner Digital Eco Rechargeable,Mckee Ltd,Kids' Clothing,162,322,ForestGreen,Extra Large,limited_stock,29
47,Portable Drone Heater Scanner Lite Premium,Roth-Maddox,Office Supplies,363,850,PeachPuff,L,backorder,14
48,Ultra Brush,"Ware, Singh and Holloway",Makeup,818,491,DarkViolet,5x7 in,discontinued,5
49,Charger Lock Oven,Sellers LLC,Health & Wellness,84,947,MintCream,50x70 cm,backorder,80
50,Automatic Clock Lock Digital Touch,Hess-Daniel,Automotive,549,303,PaleGreen,XS,out_of_stock,17
51,Cooker Cooler,Figueroa-Bowen,Shoes & Footwear,643,744,DarkGoldenRod,L,limited_stock,94
52,Iron Heater,"Garcia, Salazar and Roberson",Headphones & Earbuds,459,769,Gainsboro,Extra Large,in_stock,38
53,Advanced Powerbank Touch Max,"Price, Ford and Shaw",Office Supplies,273,582,DarkSlateBlue,100x200 mm,backorder,85
54,Digital Projector Oven Thermostat Pro,Pena-Schultz,Laptops & Computers,306,653,Red,L,backorder,83
55,Eco Grill Automatic,Burns-Chavez,Grooming Tools,976,306,Cornsilk,Small,limited_stock,45
56,Smart Tablet Speaker Scooter,Dudley-Johnson,Smartphones,980,984,PaleGreen,M,pre_order,63
57,Eco Toaster Oven Eco Compact Wireless,"Bonilla, Robbins and Hayes",Clothing & Apparel,565,394,Cyan,L,in_stock,65
58,Premium Cooler Digital Max,Merritt-Maddox,Books & Stationery,887,501,Lime,Medium,out_of_stock,3
59,Clean Camera Drone Fan One Max,Beasley-Valdez,Men's Clothing,466,539,Salmon,12x18 in,out_of_stock,2
60,Fan Drone Monitor,Goodwin LLC,Health & Wellness,542,7,PaleTurquoise,L,in_stock,3
61,Smart Heater Toaster Stove 360 Premium,Stephens-Keller,Cameras & Accessories,919,536,White,8x10 in,backorder,25
62,Advanced Toaster Scanner,Jackson-Wall,Bedding & Bath,310,874,Magenta,100x200 mm,out_of_stock,55
63,Automatic Camera Monitor Charger,"Mack, Morris and Wall",Grooming Tools,873,679,Purple,15x20 cm,backorder,19
64,Wireless Grill Grill Silent,Armstrong-Ramirez,Kitchen Appliances,181,608,LightPink,XS,out_of_stock,26
65,Fast Clock Brush Prime,Owen Ltd,Fishing & Hunting,80,221,MediumBlue,S,limited_stock,57
66,Digital Keyboard,"Nash, Newton and Hodge",Smartphones,989,756,Tomato,100x200 mm,backorder,91
67,Fast Tablet,"Finley, Rush and Hawkins",Furniture,567,46,SaddleBrown,50x70 cm,discontinued,26
68,Fan Powerbank,"Mcmillan, Robertson and Norris","Accessories (Bags, Hats, Belts)",660,677,LavenderBlush,12x18 in,backorder,69
69,Heater Radio,Hebert-Costa,Men's Clothing,347,113,OldLace,100x200 mm,pre_order,47
70,Bicycle Scooter,"Gordon, Peck and Hurley",Skincare,866,836,Red,15x20 cm,discontinued,44
71,Ultra Freezer Smart X Prime,Santana Inc,Laptops & Computers,990,641,OliveDrab,Small,limited_stock,19
72,Advanced Drone Heater Scanner Wireless,Shea-Wang,"Accessories (Bags, Hats, Belts)",908,533,Aqua,Small,out_of_stock,5
73,Light Heater Clock,Richards-Hess,Home Decor,489,779,Chocolate,50x70 cm,pre_order,78
74,Smart Fan Touch Rechargeable Fast,Calderon PLC,Health & Wellness,971,326,OldLace,XS,backorder,81
75,Heater,Spencer Group,Cleaning Supplies,757,59,Pink,S,discontinued,57
76,Silent Iron Monitor Eco,Cochran-Burton,Automotive,892,895,DarkCyan,8x10 in,backorder,73
77,Eco Oven Mouse Cooler Touch Wireless Advanced,Roth-Bates,Laptops & Computers,348,554,DarkGoldenRod,Small,out_of_stock,75
78,Premium Charger Bicycle Fan Eco,Frost-Richmond,Sports & Outdoors,769,998,Cornsilk,15x20 cm,limited_stock,28
79,Microphone Heater,Joseph-Chan,Toys & Games,200,177,Aquamarine,XS,discontinued,85
80,Mixer,Foley and Sons,Fragrances,490,915,DarkOrange,8x10 in,discontinued,8
81,Advanced Thermostat Eco,Patrick Group,Smartwatches,329,110,Bisque,S,discontinued,26
82,Eco Printer Advanced,"Mcknight, Rosales and Valencia",Health & Wellness,576,711,Thistle,10x10 cm,backorder,29
83,Scanner Drone,Burton-Matthews,Smartwatches,823,944,Moccasin,Small,in_stock,95
84,Eco Cooler Treadmill Rechargeable,Chung Ltd,Laptops & Computers,119,907,DarkSlateBlue,50x70 cm,discontinued,81
85,Fan,Dickson-Vega,Health & Wellness,406,425,MidnightBlue,Small,pre_order,93
86,Mini Treadmill Dock Compact,Christian and Sons,Smartwatches,371,895,Pink,30x40 cm,in_stock,7
87,Portable Blender Wireless,"Faulkner, Daugherty and Molina",Cycling,798,477,Silver,100x200 mm,limited_stock,92
88,Portable Iron Monitor Premium Pro Eco,Vincent Group,Cycling,20,182,Thistle,XS,backorder,18
89,Scooter Scale Cooler,Huff-Morrow,Fragrances,765,4,Magenta,15x20 cm,pre_order,4
90,Freezer,Webb-Roman,Home Decor,765,566,BlueViolet,XS,in_stock,93
91,Advanced Blender,"Duarte, Cisneros and Fitzpatrick",Office Supplies,517,210,Gold,10x10 cm,out_of_stock,25
92,Digital Radio Radio Pro,Ochoa and Sons,Fragrances,536,504,Green,XS,out_of_stock,9
93,Ultra Kettle,Mcgrath PLC,Skincare,650,885,Brown,XXL,in_stock,72
94,Silent Lock Thermostat Air Touch,"Huber, Clark and Griffith",Fishing & Hunting,974,522,Turquoise,XS,discontinued,47
95,Iron,Silva and Sons,Makeup,59,764,DarkSlateGray,15x20 cm,in_stock,57
96,Digital Scanner Rechargeable Ultra Prime,Pham-Erickson,Skincare,867,948,GhostWhite,Large,discontinued,25
97,Advanced Blender Toaster Camera,Barr-Riley,Cleaning Supplies,371,627,LightSlateGray,15x20 cm,limited_stock,38
98,Automatic Watch Thermostat Clean,Sutton Group,Bedding & Bath,320,98,LightGray,XS,backorder,31
99,Microphone Treadmill Oven,Reese-Cox,Beauty & Personal Care,757,887,Bisque,8x10 in,backorder,98
100,Premium Powerbank Iron Brush Edge Prime,Wong-Perez,Smartphones,669,903,LavenderBlush,8x10 in,pre_order,99
101,Rechargeable Headphones X Lite 360,Gaines-Schneider,Haircare,829,751,Khaki,15x20 cm,backorder,47
102,Heater Mixer Shaver,"Ho, Lang and Shannon",Automotive,459,465,PapayaWhip,5x7 in,limited_stock,70
103,Compact Vacuum,Raymond Ltd,Bedding & Bath,298,831,FireBrick,S,out_of_stock,22
104,Compact Mixer Freezer Trimmer,"Ramirez, Dean and Mueller",Kitchen Appliances,766,170,WhiteSmoke,10x10 cm,limited_stock,88
105,Pro Projector Mini Air,Mills Group,Haircare,594,180,PaleVioletRed,50x70 cm,limited_stock,85
106,Silent Fan Fast One,"Hayden, Woodward and Barton",Toys & Games,969,947,Azure,L,out_of_stock,32
107,Wireless Projector Mini,"Cantrell, Welch and Trevino",Camping & Hiking,423,521,SeaShell,12x18 in,discontinued,17
108,Rechargeable Treadmill,Flowers-Werner,Team Sports,494,463,MediumVioletRed,10x10 cm,limited_stock,70
109,Digital Toaster Scanner Touch,Olson-Mills,Automotive,729,42,GhostWhite,Large,backorder,48
110,Iron Thermostat,"Lynn, Figueroa and Craig",Grooming Tools,54,750,DarkGreen,Extra Large,discontinued,32
111,Eco Powerbank Digital Ultra,Nash-Hughes,Kitchen Appliances,317,888,AliceBlue,Small,pre_order,38
112,Fast Fridge Mouse Monitor Silent,Riggs-Edwards,Fitness Equipment,566,249,Violet,15x20 cm,out_of_stock,48
113,Smart Mixer Lamp Premium,Schroeder Inc,Sports & Outdoors,721,613,HotPink,50x70 cm,out_of_stock,1
114,Premium Powerbank Router Compact Pro Sense,Mcclain-Simpson,Shoes & Footwear,469,59,DarkOrange,100x200 mm,backorder,11
115,Digital Fridge Fan Lamp Compact,"Lynn, Simpson and Mcmillan",Beauty & Personal Care,872,848,Cornsilk,S,limited_stock,50
116,Mouse,Walker-Woods,Automotive,674,975,NavajoWhite,15x20 cm,discontinued,21
117,Smart Lamp Prime Ultra,Kramer PLC,"Accessories (Bags, Hats, Belts)",931,240,SkyBlue,5x7 in,backorder,87
118,Portable Watch Go Lite,"Glover, James and Booker",Books & Stationery,207,82,SteelBlue,15x20 cm,in_stock,45
119,Wireless Webcam Trimmer Projector Automatic Advanced Portable,Flynn LLC,Home Decor,393,885,Pink,5x7 in,in_stock,71
120,Ultra Fan Advanced,Oliver PLC,Home Decor,19,632,Tan,12x18 in,limited_stock,72
121,Pro Watch Fridge Ultra Digital,Whitehead PLC,Sports & Outdoors,864,140,Gold,XL,pre_order,48
122,Eco Headphones Premium X,Vega-Fernandez,Fitness Equipment,349,184,SeaShell,15x20 cm,out_of_stock,38
123,Tablet Blender,Gray Inc,Cycling,87,764,Violet,10x10 cm,pre_order,34
124,Pro Headphones Monitor,Osborne-Rivera,Clothing & Apparel,522,60,LawnGreen,XS,backorder,90
125,Digital Lamp Blender Drone,"Bush, Archer and Hurley",Women's Clothing,368,232,Maroon,5x7 in,limited_stock,41
126,Smart Scanner Tablet Radio,Roach and Sons,Smartphones,406,599,DarkSlateBlue,Large,discontinued,39
127,Stove Blender Oven,Lang-Santana,Clothing & Apparel,274,399,Red,8x10 in,in_stock,3
128,Pro Clock Brush Pro Wireless,Shaw-Chung,Books & Stationery,823,460,Aqua,XL,limited_stock,48
129,Projector Freezer,"Hughes, Melendez and Trevino","Accessories (Bags, Hats, Belts)",850,72,LightGoldenRodYellow,30x40 cm,discontinued,55
130,Fast Scanner Mouse Wireless Air Lite,Becker and Sons,Women's Clothing,384,403,SeaShell,30x40 cm,limited_stock,73
131,Silent Charger Tablet Brush,Harper Inc,Fishing & Hunting,459,117,DimGray,10x10 cm,pre_order,18
132,Dock,"Underwood, Ingram and Gregory",Office Supplies,23,99,Thistle,50x70 cm,backorder,18
133,Dock Dock Trimmer,Carey LLC,Cleaning Supplies,869,504,Lavender,Extra Large,discontinued,66
134,Premium Radio Rechargeable Max Mini,Gentry LLC,Books & Stationery,66,306,OliveDrab,XXL,in_stock,46
135,Smart Tablet Tablet Kettle Mini,"Allen, Maxwell and Barnett",Women's Clothing,859,190,Aqua,Medium,backorder,77
136,Ultra Mixer Freezer Trimmer Digital Wireless Plus,Stokes and Sons,Headphones & Earbuds,519,188,PowderBlue,50x70 cm,discontinued,21
137,Smart Thermostat Camera Watch Smart One,Dougherty LLC,Fishing & Hunting,146,775,Thistle,XS,backorder,84
138,Fast Drone Printer Tablet,Yoder-Hensley,Laptops & Computers,395,738,Cyan,Small,out_of_stock,33
139,Premium Blender Cooker Prime,Lester-Ross,Headphones & Earbuds,528,179,Crimson,L,out_of_stock,70
140,Advanced Freezer Clean,Campos-Chan,Health & Wellness,959,285,PowderBlue,10x10 cm,discontinued,89
141,Automatic Speaker Router Lamp Pro,Pacheco PLC,Skincare,16,676,Violet,10x10 cm,limited_stock,40
142,Advanced Mixer Drone Fan Premium,"Sanford, Paul and Byrd",Home Decor,608,945,Silver,XL,discontinued,43
143,Wireless Vacuum Cooler,"Cunningham, Day and Miller",Team Sports,854,787,MediumSeaGreen,Large,discontinued,36
144,Smart Router Lamp,Moreno-Madden,Cleaning Supplies,385,761,SaddleBrown,10x10 cm,pre_order,69
145,Compact Bicycle Speakerphone Printer Prime 360,"Walton, Marshall and Black",Beauty & Personal Care,361,852,Chartreuse,Large,in_stock,74
146,Digital Trimmer Clock X Digital Pro,Acevedo-Richard,Home Decor,225,295,Brown,Medium,pre_order,93
147,Mini Watch Headphones Kettle Max Portable X,Hull LLC,Camping & Hiking,881,454,DarkBlue,M,in_stock,88
148,Wireless Speaker Keyboard,Hopkins PLC,"Accessories (Bags, Hats, Belts)",848,268,Navy,XS,discontinued,51
149,Eco Thermostat Camera Watch,"Lawson, Bass and Francis",Cleaning Supplies,837,999,Linen,50x70 cm,backorder,91
150,Compact Camera One Mini Smart,"White, Daugherty and Hunt",Sports & Outdoors,709,664,HotPink,8x10 in,backorder,55
151,Silent Webcam Scooter,Christensen and Sons,"Accessories (Bags, Hats, Belts)",946,84,MidnightBlue,XXL,in_stock,87
152,Drone,Mcclure Inc,Home & Kitchen,355,833,DarkBlue,XL,out_of_stock,42
153,Automatic Clock Drone Charger,Cunningham Group,Toys & Games,357,870,PowderBlue,M,pre_order,40
154,Clean Watch Headphones Kettle Air Fast,"Perez, Alvarez and Gordon",Fragrances,45,175,OrangeRed,10x10 cm,discontinued,24
155,Mini Oven Drone,Lee Ltd,Sports & Outdoors,432,330,MediumTurquoise,M,in_stock,53
156,Portable Grill Tablet Fridge X Air,"Cortez, Leach and Raymond",Bedding & Bath,249,845,LightCyan,Small,discontinued,40
157,Clean Thermostat Printer Premium Prime,Roberson LLC,Headphones & Earbuds,140,704,MediumTurquoise,100x200 mm,limited_stock,72
158,Ultra Lamp Clean Edge,"Huerta, Cummings and Cross",Smartwatches,807,721,Lavender,Medium,out_of_stock,5
159,Fast Mouse Sense Smart,Shelton-Faulkner,Skincare,622,890,RosyBrown,30x40 cm,backorder,58
160,Oven Scale,Salas-Bates,Men's Clothing,226,12,SandyBrown,XS,backorder,68
161,Rechargeable Cooler Mini Ultra,"Henderson, Bautista and Irwin",Makeup,82,558,Gray,8x10 in,out_of_stock,21
162,Phone,Bowers-Moreno,Haircare,489,956,Gainsboro,Small,out_of_stock,87
163,Iron Microphone,"Spears, Odom and Bennett",Women's Clothing,463,64,SaddleBrown,Large,backorder,15
164,Smart Drone Thermostat Headphones Touch Go Eco,"Berry, Lowery and Mccann",Smartphones,505,351,Cornsilk,XL,in_stock,30
165,Mini Thermostat Webcam Bicycle,Bridges Ltd,Headphones & Earbuds,891,978,DodgerBlue,M,in_stock,25
166,Speaker Iron Grill,"Long, House and Cannon",Automotive,388,325,LavenderBlush,5x7 in,limited_stock,10
167,Automatic Headphones Fast Pro Rechargeable,Wang Group,Laptops & Computers,884,955,BlanchedAlmond,S,out_of_stock,60
168,Portable Toaster Scooter Air,French Group,Cleaning Supplies,26,857,DarkSlateGray,L,pre_order,14
169,Mini Webcam Trimmer Projector Digital Fast,West and Sons,Clothing & Apparel,847,241,MediumSpringGreen,12x18 in,out_of_stock,12
170,Toaster Light Monitor,Krause-Ramos,Camping & Hiking,99,191,Gainsboro,8x10 in,out_of_stock,82
171,Compact Microphone Treadmill Oven Plus,Price LLC,Cleaning Supplies,435,962,MidnightBlue,30x40 cm,discontinued,68
172,Projector Freezer,Chavez-Dawson,Laptops & Computers,786,107,Gray,15x20 cm,limited_stock,75
173,Ultra Scooter,Benson LLC,Smartphones,295,512,DarkBlue,S,discontinued,66
174,Premium Watch Grill Compact Ultra 360,Villarreal and Sons,Grooming Tools,583,38,GreenYellow,100x200 mm,limited_stock,38
175,Ultra Scooter Wireless Clean Touch,Todd Group,Bedding & Bath,884,250,WhiteSmoke,8x10 in,in_stock,32
176,Portable Heater Toaster Stove Fast,"Wagner, Rangel and Morton",Home Decor,567,51,Fuchsia,L,pre_order,5
177,Smart Powerbank Iron Brush Wireless,Guzman-Leach,Smartphones,488,498,Crimson,50x70 cm,pre_order,57
178,Ultra Camera Silent,"Hart, Mercer and Clayton",Grooming Tools,256,65,Turquoise,XXL,discontinued,62
179,Pro Light Drone Fast Fast,Mays and Sons,Automotive,366,290,DarkViolet,Medium,limited_stock,94
180,Compact Drone Fast Lite Mini,Oconnell PLC,Office Supplies,731,557,MediumTurquoise,50x70 cm,out_of_stock,17
181,Compact Radio,Fowler-Williams,Fishing & Hunting,763,534,OrangeRed,XL,backorder,85
182,Smart Router Lamp 360 360 Silent,Murray-Petersen,Grooming Tools,646,616,LightSalmon,Medium,backorder,64
183,Fridge Fan Lamp,Gates-Riggs,Camping & Hiking,416,98,DarkCyan,30x40 cm,pre_order,45
184,Fan Clock Camera,Gaines-Pruitt,Fragrances,583,144,HotPink,XS,backorder,92
185,Webcam Scooter,"Wall, Morrison and Hurley",Headphones & Earbuds,229,802,Olive,15x20 cm,discontinued,57
186,Light Drone,Sawyer Inc,Automotive,113,169,ForestGreen,Medium,pre_order,4
187,Automatic Charger Bicycle Cooker Mini Pro,Wood-Juarez,Automotive,720,557,DeepPink,L,pre_order,77
188,Premium Blender Air,"Henderson, Dunn and Bradshaw",Sports & Outdoors,351,395,Tan,M,out_of_stock,3
189,Smart Scale Prime Air,"Lynch, Ballard and Garrison",Office Supplies,305,121,BlueViolet,L,out_of_stock,5
190,Monitor Light,"Davenport, Vazquez and Peters",Kitchen Appliances,302,292,SandyBrown,10x10 cm,backorder,60
191,Microphone Cooler,"Gregory, Stanton and Dominguez",Cycling,565,46,SandyBrown,Large,backorder,11
192,Grill Tablet Fridge,Nixon LLC,Grooming Tools,326,486,OrangeRed,M,discontinued,68
193,Clean Bicycle Wireless Digital Lite,"Russell, Newton and Mcgee",Fishing & Hunting,504,826,DarkSlateBlue,100x200 mm,limited_stock,18
194,Automatic Charger Bicycle Fan,Daniels-Pearson,Home & Kitchen,677,962,BlanchedAlmond,XL,pre_order,98
195,Pro Powerbank Cooker Iron Ultra,Webster-Delacruz,Fitness Equipment,991,756,OliveDrab,Large,limited_stock,1
196,Digital Scooter Rechargeable Clean Portable,Matthews-Baker,Automotive,414,392,MintCream,XS,limited_stock,15
197,Compact Thermostat Microphone Scooter Silent,Henderson LLC,Books & Stationery,355,748,PaleGreen,15x20 cm,pre_order,52
198,Fast Mouse Digital Portable Plus,Jackson PLC,Home Decor,818,64,Salmon,XXL,in_stock,97
199,Automatic Watch Grill,Meadows LLC,"Accessories (Bags, Hats, Belts)",673,633,Teal,Small,pre_order,35
200,Wireless Printer Fan Air Lite Go,Hurst-Blevins,Makeup,748,143,Tan,5x7 in,out_of_stock,49
201,Pro Brush,"Whitaker, Davenport and Esparza",Cameras & Accessories,525,329,Aqua,Large,discontinued,9
202,Smart Router,Hunt Ltd,Bedding & Bath,742,148,LightSteelBlue,XL,discontinued,82
203,Eco Projector,Wallace Group,Headphones & Earbuds,380,215,PaleVioletRed,S,limited_stock,85
204,Digital Grill Microphone Projector,"Gregory, Macias and Yang",Grooming Tools,869,533,Linen,Large,discontinued,86
205,Silent Mixer Treadmill Touch Smart Advanced,Nelson LLC,Skincare,318,786,WhiteSmoke,30x40 cm,limited_stock,87
206,Clean Radio Rechargeable,Velasquez PLC,Haircare,297,920,Moccasin,XL,pre_order,27
207,Compact Clock Lock,"Obrien, Lucero and Krause",Clothing & Apparel,575,20,DarkOrchid,M,backorder,76
208,Webcam Projector Oven,Ford-Mayer,Home & Kitchen,998,632,NavajoWhite,Extra Large,limited_stock,8
209,Advanced Mouse Lamp 360,Lang LLC,Furniture,45,892,DarkSlateGray,XS,pre_order,39
210,Automatic Heater Stove Scanner,Costa LLC,Cameras & Accessories,622,921,DodgerBlue,XS,out_of_stock,23
211,Scooter,Mccarthy-Spears,Smartwatches,232,205,DarkViolet,15x20 cm,backorder,31
212,Eco Camera,Stuart-Trevino,Furniture,805,426,Gainsboro,Extra Large,limited_stock,60
213,Fast Printer Lock Thermostat Automatic Go Digital,Pace and Sons,Haircare,938,993,Gray,XL,limited_stock,32
214,Automatic Lock Freezer,Boyer-Fleming,Smartphones,688,17,CornflowerBlue,50x70 cm,pre_order,49
215,Ultra Radio Eco,Ali LLC,Kitchen Appliances,698,179,DarkMagenta,Small,out_of_stock,20
216,Clean Lock Thermostat,"Schmitt, Fields and Marquez",Office Supplies,77,243,IndianRed,L,out_of_stock,3
217,Fast Freezer Max,Brady-David,Health & Wellness,136,959,DarkOrchid,Medium,backorder,53
218,Mixer Treadmill,Johnston and Sons,Home & Kitchen,680,358,Gainsboro,100x200 mm,pre_order,92
219,Thermostat Stove Lamp,Dixon-Santana,Books & Stationery,934,704,Tomato,XL,discontinued,29
220,Wireless Dock Eco X Automatic,Hogan-Carson,Camping & Hiking,342,531,SkyBlue,XXL,backorder,35
221,Dock Dock Trimmer,Baldwin-Schneider,Fragrances,449,227,Gray,15x20 cm,pre_order,66
222,Silent Grill Grill Scale,"Krause, Bass and Horn",Fishing & Hunting,612,662,Wheat,Extra Large,in_stock,79
223,Shaver Thermostat,Washington Ltd,Haircare,422,651,DarkMagenta,Small,out_of_stock,51
224,Digital Charger Cooker Thermostat Premium Portable,Lozano Inc,Shoes & Footwear,939,269,DodgerBlue,M,limited_stock,14
225,Premium Camera Keyboard Sense Lite Plus,"Valencia, Tanner and Sosa",Shoes & Footwear,224,891,DarkTurquoise,XXL,pre_order,46
226,Smart Lock Edge,Li Ltd,Kitchen Appliances,44,134,ForestGreen,15x20 cm,limited_stock,42
227,Smart Heater Keyboard 360 360,Owens and Sons,Skincare,931,828,DarkOrchid,XXL,discontinued,73
228,Wireless Grill Brush Watch Pro,"Sherman, Shepherd and Cunningham",Books & Stationery,24,120,BlanchedAlmond,S,backorder,66
229,Premium Kettle Clean Smart Rechargeable,Hardin-Espinoza,Smartwatches,467,430,DeepSkyBlue,XS,pre_order,64
230,Wireless Headphones Fast Lite Premium,"Weeks, Jensen and Andrade",Toys & Games,635,360,DarkSlateBlue,50x70 cm,in_stock,88
231,Smart Light Clean,Sutton PLC,Shoes & Footwear,447,738,ForestGreen,8x10 in,limited_stock,1
232,Smart Brush Blender Vacuum,Simon-Werner,Bedding & Bath,990,968,Tomato,50x70 cm,discontinued,76
233,Wireless Heater Monitor Max Clean,"Gould, Mays and Clayton",Toys & Games,447,570,Violet,30x40 cm,in_stock,25
234,Ultra Speakerphone Oven Air,Odonnell-Butler,"Accessories (Bags, Hats, Belts)",256,89,OldLace,L,in_stock,46
235,Smart Fan Monitor Toaster Advanced One 360,Santiago-Chapman,Camping & Hiking,609,950,DarkSalmon,50x70 cm,limited_stock,4
236,Wireless Camera Advanced,Sherman Group,Fragrances,144,8,Bisque,XL,out_of_stock,76
237,Rechargeable Light Webcam Cooker Go,Fox LLC,Clothing & Apparel,284,339,LimeGreen,XXL,discontinued,12
238,Ultra Oven Go Fast,Warner-Hodges,Health & Wellness,707,158,Gold,15x20 cm,discontinued,80
239,Automatic Drone Silent Prime Premium,Forbes-Mendoza,Clothing & Apparel,176,861,CornflowerBlue,Extra Large,pre_order,9
240,Eco Webcam Toaster Fast Prime Mini,Goodwin-Sanchez,Cleaning Supplies,636,663,BlanchedAlmond,Small,pre_order,70
241,Speaker Router Lamp,Patton-Choi,Cameras & Accessories,337,243,LightCyan,8x10 in,pre_order,2
242,Pro Scanner Monitor Treadmill,"Holloway, Cohen and Houston",Team Sports,946,597,DeepSkyBlue,Large,discontinued,59
243,Portable Camera Edge,"Malone, Bowman and Holland",Health & Wellness,919,477,DeepPink,50x70 cm,out_of_stock,1
